n,worst,best,average
1,4.0,4.0,4.0
2,14.0,11.0,12.65
3,24.0,18.0,20.28
4,34.0,25.0,28.69
5,44.0,32.0,35.69
6,51.0,39.0,43.5
7,58.0,46.0,50.68
8,65.0,53.0,58.07
9,75.0,60.0,64.98
10,82.0,67.0,72.4
11,89.0,74.0,79.25
12,102.0,81.0,87.39
13,103.0,88.0,94.39
14,113.0,95.0,102.26
15,117.0,102.0,108.84
16,124.0,109.0,115.87
17,134.0,116.0,123.05
18,144.0,123.0,130.23
19,151.0,130.0,137.59
20,158.0,137.0,145.04
21,162.0,144.0,152.94
22,172.0,151.0,158.98
23,179.0,158.0,166.82
24,183.0,165.0,172.92
25,196.0,172.0,179.83
26,200.0,179.0,187.76
27,210.0,186.0,195.03
28,214.0,193.0,201.79
29,221.0,200.0,209.03
30,231.0,207.0,215.73
31,241.0,214.0,223.81
32,242.0,221.0,230.24
33,252.0,228.0,236.82
34,262.0,235.0,244.09
35,263.0,242.0,251.09
36,276.0,249.0,258.06
37,283.0,256.0,265.45
38,287.0,263.0,272.66
39,291.0,270.0,279.48
40,298.0,277.0,287.23
41,305.0,284.0,293.69
42,315.0,291.0,301.32
43,325.0,298.0,307.81
44,335.0,305.0,315.35
45,333.0,312.0,321.36
46,346.0,319.0,328.6
47,353.0,326.0,335.99
48,354.0,333.0,343.26
49,361.0,340.0,349.39
50,371.0,347.0,357.56
51,381.0,354.0,365.25
52,385.0,361.0,371.8
53,395.0,368.0,379.4
54,399.0,375.0,385.65
55,406.0,385.0,393.88
56,413.0,389.0,400.37
57,420.0,396.0,406.74
58,424.0,403.0,413.23
59,434.0,410.0,421.4
60,438.0,417.0,427.53
61,451.0,424.0,434.8
62,455.0,431.0,442.52
63,468.0,438.0,449.58
64,469.0,445.0,455.8
65,476.0,452.0,463.73
66,486.0,459.0,470.28
67,493.0,466.0,477.22
68,494.0,473.0,484.88
69,507.0,480.0,491.31
70,517.0,490.0,498.82
71,518.0,497.0,505.76
72,525.0,501.0,513.03
73,538.0,508.0,519.07
74,545.0,518.0,527.21
75,546.0,522.0,533.4
76,556.0,529.0,540.7
77,563.0,536.0,547.31
78,573.0,546.0,554.91
79,580.0,553.0,561.67
80,590.0,557.0,569.27
81,591.0,564.0,575.94
82,601.0,571.0,583.12
83,605.0,578.0,588.86
84,612.0,585.0,597.0
85,619.0,595.0,604.99
86,626.0,599.0,610.58
87,636.0,606.0,617.79
88,643.0,613.0,624.76
89,650.0,620.0,631.97
90,648.0,627.0,639.36
91,664.0,637.0,646.3
92,668.0,641.0,653.06
93,681.0,648.0,659.4
94,682.0,655.0,666.79
95,695.0,662.0,674.0
96,693.0,672.0,680.88
97,706.0,676.0,689.62
98,707.0,686.0,695.63
99,717.0,690.0,701.22
100,721.0,697.0,708.91
